1661789570.0043206 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-12-50-002023-ren-G3-3590-1971
1661789570.0045207 [INFO] [launch]: Default logging verbosity is set to INFO
1661789570.3278513 [INFO] [gzserver-1]: process started with pid [1973]
1661789630.3034749 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.3347895 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.3654854 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.3964806 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.4271243 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.4579413 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.4885859 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.5196841 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.5531285 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.5814843 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.6117618 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.6420069 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.6715813 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.7026205 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.7334986 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.7636600 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.7948191 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.8261542 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.8551433 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.8857443 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.9166362 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.9471421 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789630.9775693 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.0088530 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.0392032 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.0701892 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.1009004 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.1312001 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
