1661789337.5515206 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-08-57-549195-ren-G3-3590-540
1661789337.5517187 [INFO] [launch]: Default logging verbosity is set to INFO
1661789337.8797293 [INFO] [gzserver-1]: process started with pid [542]
1661789337.8801143 [INFO] [gzclient-2]: process started with pid [544]
1661789337.8802857 [INFO] [robot_state_publisher-3]: process started with pid [546]
1661789337.8804677 [INFO] [rviz2-4]: process started with pid [548]
1661789337.8806319 [INFO] [map_server-5]: process started with pid [550]
1661789361.2107453 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.2411933 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.2708094 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.3005805 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.3318820 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.3626971 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.3969109 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.4245343 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.4551938 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.4857323 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.5165758 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.5467706 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.5770242 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.6069479 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.6379187 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.6684356 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.6984272 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.7285447 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.7586169 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.7896945 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.8198695 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.8497963 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.8797331 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.9117815 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.9420364 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789361.9716604 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.0022411 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.0329728 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.0635247 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.0947702 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
