1661789379.2274191 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-09-39-225112-ren-G3-3590-1009
1661789379.2276318 [INFO] [launch]: Default logging verbosity is set to INFO
1661789379.5672281 [INFO] [gzserver-1]: process started with pid [1011]
1661789564.2780020 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.3074827 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.3375547 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.3679025 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.3974876 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.4288023 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.4597986 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.4912226 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.5193510 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.5505364 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.5813117 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.6120644 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.6429241 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.6730099 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.7032862 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.7338104 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.7653995 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.7966974 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.8258147 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.8557522 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.8855538 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.9155834 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.9460919 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789564.9766061 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.0070958 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.0377705 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.0685759 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.0989764 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.1284759 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.1584044 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.1889100 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.2184031 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.2475836 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.2785661 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.3092871 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.3396556 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.3708622 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.4006197 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.4305334 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.4610395 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.4916985 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.5215342 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.5513737 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.5822933 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.6148491 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.6487653 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.6831152 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.7169638 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.7475243 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.7775290 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.8085160 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.8388507 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.8690174 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
